,Genre,Platform,tot
2,Action,3DS,192.0
11,Action,DS,376.0
14,Action,GB,248.0
15,Action,GBA,339.0
28,Action,NES,177.0
31,Action,NS,239.0
34,Action,PC,1131.0
37,Action,PS,233.0
38,Action,PS2,446.0
39,Action,PS3,363.0
40,Action,PS4,355.0
41,Action,PSN,269.0
42,Action,PSP,193.0
43,Action,PSV,211.0
47,Action,SNES,126.0
52,Action,Wii,213.0
55,Action,X360,303.0
57,Action,XBL,359.0
58,Action,XOne,218.0
86,Adventure,3DS,58.0
96,Adventure,DS,406.0
98,Adventure,GB,61.0
99,Adventure,GBA,130.0
110,Adventure,NES,56.0
112,Adventure,NS,109.0
115,Adventure,PC,1605.0
118,Adventure,PS,241.0
119,Adventure,PS2,523.0
120,Adventure,PS3,99.0
121,Adventure,PS4,160.0
122,Adventure,PSN,143.0
123,Adventure,PSP,338.0
124,Adventure,PSV,198.0
127,Adventure,SNES,35.0
131,Adventure,Wii,145.0
134,Adventure,X360,84.0
136,Adventure,XBL,43.0
137,Adventure,XOne,87.0
151,Fighting,3DS,17.0
160,Fighting,DS,44.0
163,Fighting,GB,55.0
164,Fighting,GBA,45.0
172,Fighting,NES,26.0
175,Fighting,NS,59.0
177,Fighting,PC,124.0
180,Fighting,PS,175.0
181,Fighting,PS2,212.0
182,Fighting,PS3,88.0
183,Fighting,PS4,86.0
184,Fighting,PSN,106.0
185,Fighting,PSP,87.0
186,Fighting,PSV,19.0
189,Fighting,SNES,96.0
194,Fighting,Wii,54.0
196,Fighting,X360,82.0
198,Fighting,XBL,64.0
199,Fighting,XOne,63.0
214,Misc,3DS,423.0
228,Misc,DS,865.0
232,Misc,GB,179.0
233,Misc,GBA,246.0
247,Misc,NES,96.0
250,Misc,NS,43.0
253,Misc,PC,1392.0
256,Misc,PS,437.0
257,Misc,PS2,494.0
258,Misc,PS3,413.0
259,Misc,PS4,142.0
260,Misc,PSN,195.0
261,Misc,PSP,349.0
262,Misc,PSV,227.0
265,Misc,SNES,96.0
271,Misc,Wii,388.0
274,Misc,X360,288.0
276,Misc,XBL,374.0
277,Misc,XOne,59.0
315,Platform,3DS,71.0
325,Platform,DS,121.0
327,Platform,GB,245.0
328,Platform,GBA,199.0
341,Platform,NES,223.0
344,Platform,NS,111.0
346,Platform,PC,387.0
349,Platform,PS,97.0
350,Platform,PS2,138.0
351,Platform,PS3,54.0
352,Platform,PS4,86.0
353,Platform,PSN,150.0
354,Platform,PSP,44.0
355,Platform,PSV,30.0
358,Platform,SNES,192.0
363,Platform,Wii,69.0
366,Platform,X360,42.0
368,Platform,XBL,164.0
369,Platform,XOne,60.0
375,Puzzle,3DS,74.0
384,Puzzle,DS,351.0
386,Puzzle,GB,144.0
387,Puzzle,GBA,86.0
398,Puzzle,NES,84.0
401,Puzzle,NS,106.0
404,Puzzle,PC,528.0
407,Puzzle,PS,134.0
408,Puzzle,PS2,52.0
409,Puzzle,PS3,15.0
410,Puzzle,PS4,46.0
411,Puzzle,PSN,211.0
412,Puzzle,PSP,83.0
413,Puzzle,PSV,20.0
416,Puzzle,SNES,80.0
421,Puzzle,Wii,79.0
424,Puzzle,X360,14.0
426,Puzzle,XBL,263.0
427,Puzzle,XOne,32.0
432,Racing,3DS,19.0
438,Racing,DS,88.0
440,Racing,GB,102.0
441,Racing,GBA,105.0
452,Racing,NES,39.0
454,Racing,NS,44.0
457,Racing,PC,518.0
459,Racing,PS,232.0
460,Racing,PS2,327.0
461,Racing,PS3,113.0
462,Racing,PS4,79.0
463,Racing,PSN,145.0
464,Racing,PSP,79.0
465,Racing,PSV,10.0
468,Racing,SNES,53.0
472,Racing,Wii,120.0
475,Racing,X360,126.0
477,Racing,XBL,108.0
478,Racing,XOne,78.0
482,Role-Playing,3DS,123.0
488,Role-Playing,DS,259.0
490,Role-Playing,GB,174.0
491,Role-Playing,GBA,156.0
502,Role-Playing,NES,105.0
505,Role-Playing,NS,115.0
508,Role-Playing,PC,1049.0
511,Role-Playing,PS,212.0
512,Role-Playing,PS2,280.0
513,Role-Playing,PS3,140.0
514,Role-Playing,PS4,216.0
515,Role-Playing,PSN,209.0
516,Role-Playing,PSP,230.0
517,Role-Playing,PSV,131.0
520,Role-Playing,SNES,158.0
524,Role-Playing,Wii,39.0
526,Role-Playing,X360,109.0
528,Role-Playing,XBL,125.0
529,Role-Playing,XOne,89.0
538,Shooter,3DS,19.0
547,Shooter,DS,53.0
550,Shooter,GB,64.0
551,Shooter,GBA,55.0
564,Shooter,NES,110.0
567,Shooter,NS,49.0
569,Shooter,PC,1037.0
572,Shooter,PS,172.0
573,Shooter,PS2,245.0
574,Shooter,PS3,203.0
575,Shooter,PS4,154.0
576,Shooter,PSN,261.0
577,Shooter,PSP,61.0
578,Shooter,PSV,20.0
582,Shooter,SNES,70.0
587,Shooter,Wii,87.0
590,Shooter,X360,250.0
592,Shooter,XBL,401.0
593,Shooter,XOne,114.0
598,Simulation,3DS,71.0
605,Simulation,DS,403.0
607,Simulation,GB,58.0
608,Simulation,GBA,47.0
617,Simulation,NES,17.0
619,Simulation,NS,50.0
621,Simulation,PC,890.0
624,Simulation,PS,152.0
625,Simulation,PS2,164.0
626,Simulation,PS3,37.0
627,Simulation,PS4,61.0
628,Simulation,PSN,70.0
629,Simulation,PSP,62.0
630,Simulation,PSV,19.0
633,Simulation,SNES,35.0
637,Simulation,Wii,98.0
640,Simulation,X360,49.0
642,Simulation,XBL,20.0
643,Simulation,XOne,46.0
648,Sports,3DS,49.0
654,Sports,DS,197.0
656,Sports,GB,204.0
657,Sports,GBA,183.0
668,Sports,NES,127.0
671,Sports,NS,57.0
673,Sports,PC,534.0
676,Sports,PS,396.0
677,Sports,PS2,560.0
678,Sports,PS3,243.0
679,Sports,PS4,113.0
680,Sports,PSN,127.0
681,Sports,PSP,179.0
682,Sports,PSV,38.0
685,Sports,SNES,205.0
690,Sports,Wii,320.0
692,Sports,X360,254.0
694,Sports,XBL,84.0
695,Sports,XOne,95.0
699,Strategy,3DS,24.0
704,Strategy,DS,123.0
706,Strategy,GB,67.0
707,Strategy,GBA,66.0
719,Strategy,NES,44.0
721,Strategy,NS,39.0
723,Strategy,PC,1502.0
726,Strategy,PS,219.0
727,Strategy,PS2,118.0
728,Strategy,PS3,36.0
729,Strategy,PS4,48.0
730,Strategy,PSN,110.0
731,Strategy,PSP,75.0
732,Strategy,PSV,18.0
735,Strategy,SNES,63.0
740,Strategy,Wii,26.0
743,Strategy,X360,35.0
745,Strategy,XBL,103.0
746,Strategy,XOne,34.0
